类别 	产品小类 	性质、用途、功效 	适用农作物 												
FMC（富美实）成立于 1883 年，是一家全球性的跨国化学品公司，并于 2015 年 4 月收购了另一跨国农化企业 CHEMINOVA（科麦农）。 公司和 CHEMINOVA 的合作始于 2007 年，在当时全球草甘膦供应趋紧的背景下，其负责全球采购业务的经理和上海办事处人员到公司进行拜访并洽谈草甘膦的采购，自此公司开始了与 CHEMINOVA 在欧洲和 美 国 草 甘 膦 出 口 业 务 的 合 作 。 随 着 合 作 的 深 入 ， 公 司 陆 续 与	生产型 	农药产品传统出口模式 													
FMC（富美实）成立于 1883 年，是一家全球性的跨国化学品公司，并于 2015 年 4 月收购了另一跨国农化企业 CHEMINOVA（科麦农）。 公司和 CHEMINOVA 的合作始于 2007 年，在当时全球草甘膦供应趋紧的背景下，其负责全球采购业务的经理和上海办事处人员到公司进行拜访并洽谈草甘膦的采购，自此公司开始了与 CHEMINOVA 在欧洲和 美 国 草 甘 膦 出 口 业 务 的 合 作 。 随 着 合 作 的 深 入 ， 公 司 陆 续 与	生产型 	农药产品传统出口模式 													
															
10 	润丰泰国 														
11 	TITAN AG PTY LTD 														
11 	TITAN AG PTY LTD 														
12 	FMC  QUÍMICA  DO  BRASIL LTDA 														
12 	FMC  QUÍMICA  DO  BRASIL LTDA 														
															
FMC QUIMICA S.A. 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
CHEMINOVA  AGRO  DE COLOMBIA S.A. 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
CHEMINOVA  AGRO  DE COLOMBIA S.A. 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
CHEMINOVA  AUSTRALIA PTY LTD 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
CHEMINOVA  AUSTRALIA PTY LTD 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
CONSAGRO  AGROQUÍMICA LTDA（已于 2015 年 9 月出售） 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
CONSAGRO  AGROQUÍMICA LTDA（已于 2015 年 9 月出售） 	CHEMINOVA 的哥伦比亚、澳大利亚子公司建立了合作关系。 公司和 FMC 的合作始于 2012 年。FMC 于 2012 年在澳大利亚终止了和 NUFARM 的独家分销协议，决定组建自有团队来负责 FMC 产品在澳大利亚市场的营销业务。但是，当时 FMC 在澳大利亚产品线非常狭窄，急需扩充产品线，而公司当时已在澳大利亚获得诸多产品登记，基于互利共赢的前提，公司与 FMC 达成了在澳大利亚的业务合作关系。 和 FMC 在巴西市场的业务合作则源于双方于 2009 年巴西圣保罗举办的农化贸易峰会上的接触，经协商，由公司提供相关登记资料支持FMC 在巴西登记事宜。在相关登记获得批准后，公司与 FMC QUÍMICA DO BRASIL LTDA 及 CONSAGRO AGROQUÍMICA LTDA 的交易规模大幅增长。 受 FMC 进行业务转型调整、从仿制类农药企业转型为专注于研发的创制类农药企业的影响，该集团于 2015 年 9 月将专注于非专利农化产品的子公司 CONSAGRO AGROQUÍMICA LTDA 出售给了 Albaugh LLC。 														
OURO FINO QUÍMICA LTDA  	该客户隶属于巴西 OURO FINO 集团，负责集团农化业务的开展。公司和该客户在 2009 年举办的巴西圣保罗农化贸易展会上洽谈了合作事宜，由公司提供相关登记资料，支持该客户在巴西进行农药产品登记。随着该客户申请的以润丰股份为来源地供应商的相关产品登记于 2013年起陆续获得批准，公司与该客户的业务规模逐步扩大。 	生产型 	农药产品传统出口模式 												
OURO FINO QUÍMICA LTDA  	该客户隶属于巴西 OURO FINO 集团，负责集团农化业务的开展。公司和该客户在 2009 年举办的巴西圣保罗农化贸易展会上洽谈了合作事宜，由公司提供相关登记资料，支持该客户在巴西进行农药产品登记。随着该客户申请的以润丰股份为来源地供应商的相关产品登记于 2013年起陆续获得批准，公司与该客户的业务规模逐步扩大。 	生产型 	农药产品传统出口模式 												
UPL ARGENTINA S.A. 	该客户系印度跨国农化企业 UPL 集团在阿根廷设立的子公司。公司和该客户的业务接触始于 2010 年，当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
UPL ARGENTINA S.A. 	该客户系印度跨国农化企业 UPL 集团在阿根廷设立的子公司。公司和该客户的业务接触始于 2010 年，当时，公司在阿根廷陆续获得了多个农药产品自主登记，其通过阿根廷农业部 SENASA 网站获悉相关产品登记信息后，主动联系公司就其感兴趣的部分产品洽谈合作，公司自此开始了和该客户的业务合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 												
															
13 															
14 															
14 															
															
15 	GRUPO AGROS S.A. 	该客户位于阿根廷，是集制造、自有品牌以及自有分销门店于一体的农资供应服务商。公司与该客户在 2007 年 3 月举办的上海农化产品展览会上进行了接洽并开始合作。 	生产型 	农药产品传统出口模式、农药产品境外自主登记模式 											
16 	Chia Tai Co., Ltd 	该客户系泰国正大集团下属农业领域的子公司，主要进行农药、种子、化肥等农资产品的加工和分销，在泰国农化领域排名靠前。 公司业务人员于 2006 年前往泰国对泰国主要农化企业进行集中拜访，在此期间接触了客户，在该客户于当年前来公司生产基地进行考察后正式确立了合作业务关系。 	生产型 	农药产品传统出口模式 											
16 	Chia Tai Co., Ltd 	该客户系泰国正大集团下属农业领域的子公司，主要进行农药、种子、化肥等农资产品的加工和分销，在泰国农化领域排名靠前。 公司业务人员于 2006 年前往泰国对泰国主要农化企业进行集中拜访，在此期间接触了客户，在该客户于当年前来公司生产基地进行考察后正式确立了合作业务关系。 	生产型 	农药产品传统出口模式 											
															
项目 	2017年度 	2017年度 	2017年度 	2016年度 	2016年度 	2016年度 	2015年度 	2015年度 	2015年度 						
项目 	数量 	金额 	占比 	数量 	金额 	占比 	数量 	金额 	占比 						
